Input,Output
0.000000,0.000000
0.185272,0.070221
0.170441,0.126953
0.332336,0.208160
0.327667,0.306213
-0.016998,0.413544
0.305359,0.249390
0.996979,0.131439
0.741455,-0.035553
0.476257,0.093292
0.546234,0.087769
0.797974,0.065826
0.747620,0.071106
0.852112,0.064270
0.562683,0.086426
0.289703,0.103088
0.126312,0.111877
0.750641,0.073395
0.851135,0.061035
0.183594,0.108246
0.313599,0.104340
0.231384,0.105713
0.304260,0.103119
0.310699,0.101929
-0.053650,0.376373
-0.136383,0.422974
0.132446,0.229279
0.180054,0.150940
0.093567,-0.025482
-0.263489,0.377319
-0.461029,0.368835
-0.203369,0.728485
-0.276062,0.154663
-0.204529,-0.168488
-0.353699,0.499115
-0.498169,0.637024
-0.690369,0.318146
0.016602,0.011017
-0.360687,-0.315399
-0.443176,-0.088959
-0.760986,0.371155
-0.169373,0.735352
-0.209137,0.165283
-0.028687,-0.141113
-0.346710,0.295074
-0.337921,0.681793
-0.039764,0.538391
-0.123871,-0.187775
0.238586,-0.238525
-0.276672,0.528046
-0.402496,0.413574
-0.021088,-0.186188
0.500305,-0.194641
-0.022156,0.343109
0.073242,0.154297
0.203583,0.092926
0.660583,-0.265320
0.593811,0.253632
0.636902,0.256012
0.443176,0.235291
0.298218,0.305817
0.738770,0.296967
0.672516,0.353333
0.720398,0.293213
0.413788,0.324890
0.232849,0.227020
0.569977,0.331207
0.643219,0.278534
0.554321,0.340454
0.026550,0.188934
-0.102417,0.490692
0.171783,0.474243
0.584930,0.281464
0.715881,0.281799
0.135956,0.141174
-0.240692,0.289459
0.148438,0.298248
0.286652,0.234436
-0.079559,0.493835
-0.403290,0.446106
-0.567963,0.587128
-0.196289,0.485687
-0.003845,-0.173645
0.234222,-0.114563
-0.630951,0.461182
-0.506592,0.630737
-0.493652,0.389587
-0.165283,-0.215332
0.009705,-0.279877
-0.605560,0.420258
-0.549591,0.611755
-0.529205,0.374756
0.083099,0.049530
-0.305206,-0.303131
-0.298615,-0.042816
-0.619324,0.413971
-0.159546,0.742065
-0.009766,0.191132
-0.061188,-0.143768
-0.236084,0.311310
-0.096344,0.752991
0.054840,0.044220
0.296051,-0.269714
0.306702,0.282776
0.220764,0.222748
-0.064178,0.382233
0.405823,0.248444
0.670990,0.273865
0.706909,0.354828
0.559937,0.266205
0.555878,0.339691
0.592102,0.271881
0.938110,0.370331
0.586792,0.270782
0.372925,0.318604
0.132477,0.209686
0.507416,0.319855
0.808350,0.301880
0.528687,0.338898
0.363586,0.241516
-0.147217,0.484375
0.394257,0.515533
0.910492,0.317291
0.163483,0.223724
-0.120819,0.383820
0.079346,0.197205
0.089722,0.190033
0.250214,0.283478
0.121155,0.204010
-0.319092,0.457520
-0.330200,0.462616
-0.647522,0.557159
0.071503,-0.053009
-0.022949,-0.295837
-0.747589,-0.169952
-0.599487,0.415131
-0.252625,0.715210
-0.363342,0.140015
0.146240,-0.286224
-0.534973,0.274628
-0.731873,0.536652
-0.304108,0.449982
0.161530,-0.263550
-0.220520,0.205231
-0.616943,0.579163
-0.485199,0.387268
-0.312897,0.044769
0.081299,-0.036224
-0.406403,-0.169739
-0.150269,0.008575
-0.330017,0.514679
-0.013611,0.793121
0.318268,0.082428
0.450439,-0.237701
0.098877,0.252197
-0.078766,0.762604
0.135345,0.055939
0.333160,-0.261200
0.546661,0.323761
0.582062,0.272217
0.479797,0.134796
0.481659,-0.030579
0.969879,0.054504
0.926453,0.058289
0.357483,0.100800
0.163361,0.110016
0.566742,0.089294
0.678284,0.073364
0.588318,0.082642
0.023010,0.115601
0.006012,0.118652
0.174927,0.094940
0.333618,0.076660
0.260040,0.090607
0.157166,0.106049
-0.136414,0.358398
-0.080261,0.431427
0.283508,0.249542
0.103180,0.147125
-0.042938,0.288635
-0.498749,0.450287
-0.231537,0.827942
0.211517,0.061768
-0.101837,-0.153870
-0.468506,0.464691
-0.797180,0.524750
-0.412048,0.671204
-0.198853,0.160126
-0.313507,-0.184418
-0.597260,0.421844
-0.864380,0.496643
-0.837097,0.512817
-0.161102,0.750336
0.059387,0.042877
-0.691040,-0.235413
-0.668915,0.394958
-0.199799,0.728424
-0.176331,0.169495
-0.072784,-0.147400
0.025818,0.104980
-0.165039,0.326385
0.004028,0.008545
0.608398,-0.202240
0.110779,-0.258087
-0.072845,0.600555
-0.234009,0.476288
0.284821,-0.239471
0.607269,-0.002167
0.626617,0.353088
0.178009,0.228485
0.091034,0.147369
0.652252,-0.039185
0.434265,0.090424
0.575928,0.084259
0.267700,0.102142
0.262482,0.105255
0.459747,0.095154
0.732239,0.069702
0.462494,0.093384
0.204895,0.106476
-0.195831,0.378601
0.552063,0.262817
0.562592,0.133240
0.095642,-0.023773
-0.058990,0.378998
-0.222717,0.408508
0.084595,0.218231
0.143768,0.151215
-0.127167,0.289215
-0.272583,0.482574
-0.234894,0.482880
-0.640106,0.308960
0.035004,0.135254
-0.141144,0.220947
-0.593079,-0.040039
-0.698242,0.386902
-0.474792,0.637146
-0.258118,0.472839
-0.488983,-0.257446
-0.562744,-0.120270
-0.635315,0.405914
-0.570221,0.603638
-0.370758,0.432007
-0.122986,-0.201416
-0.484589,-0.249481
-0.413361,0.473267
-0.168671,0.744293
-0.149811,0.174927
-0.064575,-0.145691
-0.308380,0.300262
-0.175812,0.728973
0.055939,0.039581
0.264252,-0.275940
0.366821,0.291870
0.269165,0.229950
0.357117,0.142426
0.764832,-0.043121
0.821808,0.063812
0.602661,0.083313
0.565369,0.085846
0.207245,0.106171
0.588287,0.087067
0.723602,0.070190
0.763153,0.069489
0.459259,0.095001
0.164642,0.108673
0.577698,0.088562
0.849579,0.060455
0.887207,0.060791
0.268036,0.104950
0.197113,0.109222
0.317932,0.102814
0.685364,0.076111
0.416138,0.094818
-0.181793,0.374420
-0.160522,0.416779
-0.098267,0.406219
0.294189,0.246918
0.213593,0.147400
-0.224701,0.287384
-0.481628,0.449585
-0.204956,0.837372
-0.025970,0.179291
0.076874,-0.291046
-0.452698,0.282135
-0.712921,0.544525
-0.621765,0.334259
-0.096252,0.116211
-0.486664,-0.326874
-0.718536,-0.165680
-0.546234,0.431824
-0.731323,0.546509
-0.281891,0.457794
-0.471466,-0.255524
-0.531158,-0.110229
-0.401733,0.479065
-0.249268,0.721924
0.024872,0.033264
-0.004578,-0.140747
-0.351196,0.294647
-0.213013,0.717651
0.019897,0.033020
0.448669,-0.244965
0.498291,0.318146
0.057831,0.202240
-0.001984,0.387604
0.363983,0.245117
0.485596,0.246399
0.343872,0.310913
0.463074,0.254852
0.433868,0.321075
0.712402,0.292572
0.932770,0.371552
1.000000,0.326324
0.244049,0.307281
0.364288,0.246765
0.534149,0.329376
0.841766,0.307037
0.530914,0.339478
0.269379,0.230103
0.124237,0.278809
0.258728,0.232239
0.375732,0.306732
0.310638,0.234253
-0.547333,0.423889
-0.087006,0.878967
0.126740,0.059967
0.286957,-0.269287
0.302460,0.282074
-0.543640,0.333069
-0.428009,0.655121
-0.431366,0.413635
0.175873,-0.273682
0.051453,-0.176666
-0.447052,0.507324
-0.550140,0.618408
-0.505859,0.384216
-0.366699,0.023499
-0.271790,-0.118866
-0.705505,-0.159302
-0.546997,0.432465
-0.371704,0.678345
-0.328857,0.141479
0.056335,-0.301697
-0.697052,0.258423
-0.590240,0.586609
-0.106201,0.511536
-0.109375,-0.188019
-0.044373,0.230988
-0.474304,0.634583
-0.503113,0.385498
0.195984,-0.277863
0.482147,-0.205109
0.593628,0.335327
-0.066925,0.408997
-0.038269,0.414581
0.422577,0.263580
0.938141,0.131989
0.874115,-0.038269
0.464905,0.093964
0.275970,0.103912
0.555939,0.088715
0.932739,0.054596
0.759033,0.070801
0.279327,0.104370
0.372833,0.100128
0.418427,0.095825
0.951019,0.053986
0.742310,0.071625
0.318268,0.102386
0.044250,0.116028
0.548615,0.083008
0.677277,0.066772
0.382172,0.094208
0.368683,0.098816
0.004974,0.116333
0.011505,0.097992
0.412445,0.074432
-0.154663,0.386353
-0.562714,0.355713
-0.731628,0.546600
-0.328522,0.442047
-0.199249,-0.212097
-0.058105,-0.202423
-0.640778,0.406708
-0.840149,0.504303
-0.611542,0.596069
-0.121338,0.508606
-0.435577,-0.243286
-0.199036,-0.005646
-0.438568,0.212250
-0.568634,0.018860
0.091522,-0.102875
-0.060364,-0.315857
-0.488251,-0.103821
-0.438293,0.467834
-0.517822,0.627808
0.197449,-0.009186
0.295380,-0.320984
-0.368683,-0.242462
-0.289917,0.512329
-0.347717,0.432312
0.241638,-0.254303
0.242310,-0.121826
0.146973,0.174286
-0.021484,0.119110
0.415619,-0.243011
0.775543,0.356873
